participant_id,session_id,event_order,event_time_fnirs,event_duration_fnirs,event_label_raw,event_code_raw,source,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,157,3959.558067,10.0,99,99,snirf,False,
PID001,2025-11-06_008,158,3959.569235,10.0,11,11,snirf,False,
PID001,2025-11-06_008,159,3960.942686,10.0,14,14,snirf,False,
PID001,2025-11-06_008,160,3961.419962,10.0,15,15,snirf,False,
PID001,2025-11-06_008,161,4021.490241,10.0,22,22,snirf,False,
PID001,2025-11-06_008,162,4021.997884,10.0,93,93,snirf,False,
PID001,2025-11-06_008,163,4204.433428,10.0,92,92,snirf,False,
PID001,2025-11-06_008,164,4207.584099,10.0,91,91,snirf,False,
PID001,2025-11-06_008,165,4211.483158,10.0,99,99,snirf,False,
PID001,2025-11-06_008,166,4211.497204,10.0,11,11,snirf,False,
PID001,2025-11-06_008,167,4213.43589,10.0,14,14,snirf,False,
PID001,2025-11-06_008,168,4213.968845,10.0,15,15,snirf,False,
PID001,2025-11-06_008,169,4288.081098,10.0,24,24,snirf,False,
PID001,2025-11-06_008,170,4292.837571,10.0,99,99,snirf,False,
PID001,2025-11-06_008,171,4292.85089,10.0,11,11,snirf,False,
PID001,2025-11-06_008,172,4294.206226,10.0,14,14,snirf,False,
PID001,2025-11-06_008,173,4294.603496,10.0,15,15,snirf,False,
PID001,2025-11-06_008,174,4341.006578,10.0,21,21,snirf,False,
PID001,2025-11-06_008,175,4345.662525,10.0,99,99,snirf,False,
PID001,2025-11-06_008,176,4345.677142,10.0,11,11,snirf,False,
PID001,2025-11-06_008,177,4347.081465,10.0,14,14,snirf,False,
PID001,2025-11-06_008,178,4347.559472,10.0,15,15,snirf,False,
PID001,2025-11-06_008,179,4410.178077,10.0,21,21,snirf,False,
PID001,2025-11-06_008,180,4410.684874,10.0,93,93,snirf,False,
PID001,2025-11-06_008,181,4627.599387,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,1,112.878118,10.0,71,71,snirf,False,
PID002,2025-11-06_PID002,2,252.484308,10.0,72,72,snirf,False,
PID002,2025-11-06_PID002,3,256.199212,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,4,259.332398,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,5,259.353229,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,6,276.898893,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,7,281.655991,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,8,317.26681,10.0,23,23,snirf,False,
PID002,2025-11-06_PID002,9,321.687896,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,10,321.715927,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,11,367.505295,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,12,379.191427,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,13,466.973954,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,14,471.61662,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,15,471.626908,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,16,481.570367,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,17,487.312803,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,18,545.412505,10.0,23,23,snirf,False,
PID002,2025-11-06_PID002,19,545.919389,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,20,676.214838,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,21,678.316446,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,22,682.915405,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,23,682.97,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,24,720.0816,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,25,722.986924,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,26,764.895075,10.0,24,24,snirf,False,
PID002,2025-11-06_PID002,27,770.319726,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,28,770.335078,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,29,802.553136,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,30,807.437184,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,31,865.245725,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,32,869.268794,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,33,869.280842,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,34,883.75559,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,35,887.82735,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,36,973.662512,10.0,22,22,snirf,False,
PID002,2025-11-06_PID002,37,974.169224,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,38,1098.331535,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,39,1099.384791,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,40,1103.766314,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,41,1103.796347,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,42,1166.491885,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,43,1173.629543,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,44,1291.178104,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,45,1295.918156,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,46,1295.990586,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,47,1311.917236,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,48,1316.634881,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,49,1342.420205,10.0,24,24,snirf,False,
PID002,2025-11-06_PID002,50,1346.244855,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,51,1346.263662,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,52,1370.476226,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,53,1374.565044,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,54,1411.376858,10.0,23,23,snirf,False,
PID002,2025-11-06_PID002,55,1411.884895,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,56,1519.399602,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,57,1521.468238,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,58,1526.001191,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,59,1526.077433,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,60,1557.345921,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,61,1559.15951,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,62,1615.711807,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,63,1619.503714,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,64,1619.513666,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,65,1642.452848,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,66,1647.870992,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,67,1699.131545,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,68,1703.288058,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,69,1703.306075,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,70,1745.938286,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,71,1750.226096,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,72,1765.020963,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,73,1765.531215,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,74,1941.483327,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,75,1943.201347,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,76,1947.883504,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,77,1947.892999,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,78,1964.530804,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,79,1968.742271,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,80,2062.75919,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,81,2066.565365,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,82,2066.573247,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,83,2074.05259,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,84,2078.17374,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,85,2097.503395,10.0,24,24,snirf,False,
PID002,2025-11-06_PID002,86,2102.560278,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,87,2102.576057,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,88,2124.476197,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,89,2139.548605,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,90,2196.486411,10.0,24,24,snirf,False,
PID002,2025-11-06_PID002,91,2196.994434,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,92,2363.217434,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,93,2368.018313,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,94,2371.134205,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,95,2371.152154,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,96,2395.336254,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,97,2400.905887,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,98,2472.194161,10.0,22,22,snirf,False,
PID002,2025-11-06_PID002,99,2477.034156,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,100,2477.050044,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,101,2502.599422,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,102,2505.825722,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,103,2529.951474,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,104,2533.70934,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,105,2533.726853,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,106,2569.575,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,107,2575.567089,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,108,2627.419573,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,109,2627.927459,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,110,2788.033744,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,111,2790.985284,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,112,2795.717287,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,113,2795.732738,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,114,2813.533787,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,115,2817.344338,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,116,2878.113075,10.0,22,22,snirf,False,
PID002,2025-11-06_PID002,117,2882.269561,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,118,2882.282862,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,119,2911.149405,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,120,2919.45649,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,121,3028.823153,10.0,22,22,snirf,False,
PID002,2025-11-06_PID002,122,3033.915757,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,123,3033.925412,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,124,3066.314459,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,125,3072.682836,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,126,3127.092155,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,127,3127.59921,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,128,3211.000348,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,129,3216.702901,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,130,3221.351009,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,131,3221.367833,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,132,3264.944762,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,133,3273.0887,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,134,3320.778287,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,135,3326.083447,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,136,3326.099022,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,137,3352.267295,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,138,3359.458874,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,139,3404.131664,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,140,3408.32129,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,141,3408.335661,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,142,3448.353665,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,143,3452.209046,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,144,3526.194994,10.0,25,25,snirf,False,
PID002,2025-11-06_PID002,145,3526.702306,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,146,3636.717474,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,147,3638.969424,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,148,3642.784881,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,149,3642.805865,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,150,3672.968524,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,151,3679.218316,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,152,3740.379598,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,153,3744.351686,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,154,3744.361973,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,155,3761.451096,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,156,3768.408552,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,157,3825.048058,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,158,3829.071442,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,159,3829.108376,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,160,3850.693134,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,161,3854.677768,10.0,15,15,snirf,False,
