participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_id_matches_trigger,question_start_time,answer_time,answer_latency_sec,epoch_start_time,epoch_end_time,baseline_start_time,baseline_end_time,full_epoch_available,baseline_available,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,included_step5_trial,exclusion_reason_code,exclusion_reason_detail,source_log
PID003,2025-11-11_003,A1,1,16,2019_CH_65,Abstract,True,2285.832481,2336.219927,50.38744600000018,2282.332481,2299.0324809999997,2283.832481,2285.832481,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A1,2,17,2022_CH_71,Abstract,True,2341.642396,2424.423051,82.78065500000002,2338.142396,2354.842396,2339.642396,2341.642396,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A1,3,18,2022_CH_51,Abstract,True,2428.80015,2525.071685,96.27153499999986,2425.30015,2442.00015,2426.80015,2428.80015,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A2,1,19,2021_CH_83,Abstract,True,2708.809331,2793.613966,84.80463499999996,2705.309331,2722.0093309999997,2706.809331,2708.809331,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A2,2,20,2021_CH_57,Abstract,True,2797.480802,2860.036603,62.555800999999974,2793.980802,2810.680802,2795.480802,2797.480802,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A2,3,21,2020_CH_77,Abstract,True,2863.587367,2966.153886,102.56651899999997,2860.087367,2876.787367,2861.587367,2863.587367,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A3,1,22,2022_CH_60,Abstract,True,3130.286967,3182.038165,51.75119799999993,3126.786967,3143.486967,3128.286967,3130.286967,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A3,2,23,2021_CH_65,Abstract,True,3186.021094,3294.51894,108.49784599999975,3182.521094,3199.221094,3184.021094,3186.021094,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A3,3,24,2022_CH_47,Abstract,True,3299.091629,3412.36751,113.27588100000003,3295.591629,3312.291629,3297.091629,3299.091629,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A4,1,25,2021_CH_86,Abstract,True,3551.512706,3609.752241,58.23953500000016,3548.012706,3564.712706,3549.512706,3551.512706,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
