participant_id,folder_name,timestamp_raw,timestamp_iso,question_id,raw_value,raw_key_present,source_json,source_json_full_path
PID005,PID05,20251112_112312,2025-11-12 11:23:12,employee_role,,False,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,first_gen_he,no,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,first_language,italian,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,gender,male,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,highest_degree,Doctorate,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,living_arrangement,alone,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,nationality,italian,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,other_languages,english,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,parent_a_edu,Master Degree,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,parent_b_edu,High school,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,primary_school_langs,Italian,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,programme_name,,False,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,study_level,,False,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,year_in_programme,,False,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID005,PID05,20251112_112312,2025-11-12 11:23:12,years_in_luxembourg,0,True,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,affiliation,Employee research,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,age,36,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,country_of_birth,Colombia,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,country_secondary_ed,Colombia,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,degree_field,Economics,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,department_unit,Na,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,employee_role,Postdoc,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
