participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,phase,block,trial_idx_in_block,question_number,question_year,question_field,question_type_log,t_abs,rt_from_phase,choice,correct_raw,button_click_time,option_view_time,marker_name,marker_code,note
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A3,3,86,2021,CH,abstract,1386.890428,4.666929400002118,,,,,ITI,99,ITI duration: 4.66s
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_text_on,A3,3,86,2021,CH,abstract,1386.912722,5.200000305194408e-05,,,,,Q_TEXT_ON,11,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_stem_on,A3,3,86,2021,CH,abstract,1443.500722,7.130000449251384e-05,,,,,Q_STEM_ON,14,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_options_on,A3,3,86,2021,CH,abstract,1459.571741,6.170000415295362e-05,,,,,Q_OPTIONS_ON,15,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,answer,A3,3,86,2021,CH,abstract,1488.399263,28.82758380001178,A,,,28.827566,ANS_A,21,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,block_end,A3,-1,,,,,1660.627962,,,,,,BLK_OFF,92,A3 end (actual 420.0s)
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,block_start,A4,-1,,,,,1662.480208,,,,,,BLK_ON,91,A4 start (target 420s)
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A4,1,65,2021,CH,abstract,1667.278293,4.7979577999940375,,,,,ITI,99,ITI duration: 4.78s
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_text_on,A4,1,65,2021,CH,abstract,1667.298686,6.350000330712646e-05,,,,,Q_TEXT_ON,11,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_stem_on,A4,1,65,2021,CH,abstract,1704.743953,9.220000356435776e-05,,,,,Q_STEM_ON,14,
