participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,block,global_block_order,within_block_position,cumulative_trial_order,z_log_total_word_count,z_enem_correctness,response_time_sec,front_roi_mean_variable_lag4,front_roi_mean,back_roi_mean_variable_lag4,manual_override_session,no_override_cohort,type,abstracness,z_abstracness,z_abstracness_sq,threshold_distance_raw,z_threshold_distance,total_word_count,sentence_count,sentence_length,correctness,question_start_time,baseline_start_time,baseline_end_time,primary_window_start_time,primary_window_end_time,anterior_dorsal_n_channels,anterior_dorsal_mean_variable_lag4,anterior_ventral_n_channels,anterior_ventral_mean_variable_lag4,posterior_dorsal_n_channels,posterior_dorsal_mean_variable_lag4,posterior_ventral_n_channels,posterior_ventral_mean_variable_lag4
PID033,31,2025-11-27_002,2022_CH_71,29,Abstract,1.0,A1,1,2,2,-0.5452427221661849,0.4620415654524358,105.42890799999998,-2.028708239278196e-08,2.0462727757370524e-08,-6.84981621199565e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,59,3,19.67,0.444068288594161,378.091423,376.091423,378.091423,382.091423,486.942073,2,-1.730827781754019e-07,5,3.455576106280167e-08,2,-5.197554684185433e-07,6,-6.652000390864489e-08
PID033,31,2025-11-27_002,2021_CH_51,19,Abstract,1.0,A1,1,3,3,-0.6706373311158704,0.6512534794066687,60.70076499999999,-2.6206507497656344e-07,8.156734041455348e-08,-1.866420477547605e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,56,3,18.67,0.4690162788304226,487.442073,485.442073,487.442073,491.442073,552.142838,2,-4.1172535840964524e-07,5,-1.8610242337680388e-07,2,2.904316210546628e-08,6,-1.289116638964124e-07
PID033,31,2025-11-27_002,2019_CH_64,7,Abstract,1.0,A2,2,1,4,0.8851540163061837,1.676860146097159,72.26000999999997,3.305124930683502e-07,1.3479156490693812e-07,-9.883127445154229e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,107,11,9.73,0.604244682645566,672.517507,670.517507,672.517507,676.517507,748.777517,2,1.364256698040154e-08,5,4.251540871840129e-07,2,8.659664221513255e-08,6,-2.3301524484997142e-08
PID033,31,2025-11-27_002,2019_CH_65,8,Abstract,1.0,A2,2,2,5,0.4154157465811737,-0.3021956459204002,74.152019,-3.1720718155945013e-07,-1.289047175195846e-07,-2.535238228428906e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,88,3,29.33,0.3433019991514724,750.247159,748.247159,750.247159,754.247159,828.399178,2,-4.1919204696123204e-07,5,-2.7521469436798867e-07,2,-4.745086502781104e-07,6,-2.5230002891981716e-07
PID033,31,2025-11-27_002,2021_CH_86,24,Abstract,1.0,A2,2,3,6,-0.5048577147492145,1.3097621052999473,117.19471,-2.92083034757377e-07,-1.209559820857192e-07,-1.56728928989641e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,60,1,60.0,0.5558420311097073,829.717314,827.717314,829.717314,833.717314,950.912024,2,-3.927533686737232e-07,5,-2.2130919291209222e-07,2,3.725048230656201e-08,6,-1.7593255812545442e-07
PID033,31,2025-11-27_002,2020_CH_76,12,Abstract,1.0,A3,3,1,7,0.1255646198243954,-0.511405592177757,94.42834200000016,-2.3289910167969618e-07,-1.509944905300967e-07,-2.405330181835852e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,78,6,13.0,0.315717226144949,1095.646374,1093.646374,1095.646374,1099.646374,1194.074716,2,-3.7953963071172727e-07,5,-8.900390488300423e-08,2,-1.142614486406476e-08,6,-2.028426251800459e-07
PID033,31,2025-11-27_002,2021_CH_65,21,Abstract,1.0,A3,3,2,8,-0.1344565412126754,2.301474938515612,94.66519799999992,-1.5304384943032895e-08,4.6384198770815113e-08,-7.906354371392906e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,70,3,23.33,0.6866014614393652,1194.827768,1192.827768,1194.827768,1198.827768,1292.667379,2,-1.9060387944598663e-07,5,1.124969875232364e-08,2,-2.6051387174094457e-07,6,-8.214580271538138e-08
PID033,31,2025-11-27_002,2020_LC_31,17,Abstract,1.0,A3,3,3,9,1.2969024283525536,0.491072224108366,57.781455999999935,-3.616255692896122e-09,6.783758084204534e-08,1.1179950492166269e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,127,5,25.4,0.4478960422147685,1293.167379,1291.167379,1293.167379,1297.167379,1354.948835,2,5.24846886256959e-08,5,-1.2276636978992635e-08,2,1.799629100859071e-07,6,1.2342280050115164e-07
PID033,31,2025-11-27_002,2021_CH_57,20,Abstract,1.0,A4,4,1,10,-1.2501139118066624,-0.5984069705038608,29.460184000000027,-4.030365034773696e-07,-6.763502956071517e-08,5.2673621036251694e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,44,2,22.0,0.304245910773413,1516.00759,1514.00759,1516.00759,1520.00759,1548.791696,2,-1.84002438317079e-07,5,-5.02192753700997e-07,2,-1.9028372873109336e-07,6,1.8745938478632075e-07
PID033,31,2025-11-27_002,2022_CH_47,26,Abstract,1.0,A4,4,2,11,1.0374217805060666,0.6865312817739867,118.42379099999994,4.572376099941041e-07,1.2795600494500186e-07,1.413568820381076e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,114,4,28.5,0.4736677315356127,1549.291696,1547.291696,1549.291696,1553.291696,1671.715487,2,1.6168376911997895e-07,5,7.681799935253304e-07,2,4.4722297758904016e-07,6,8.866225844663919e-08
PID033,31,2025-11-27_002,2020_CH_77,13,Abstract,1.0,A4,4,3,12,0.1561746054758361,-0.6844944649159799,116.51102500000002,-3.347748758533246e-07,-2.208646631117472e-07,-2.3962967658522335e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,79,1,79.0,0.2928950929249277,1673.019119,1671.019119,1673.019119,1677.019119,1793.530144,2,-2.2517995982371997e-07,5,-3.5338176224306446e-07,2,-1.3780239279490365e-07,6,-1.269726064135357e-07
PID033,31,2025-11-27_002,2022_CH_51,27,Abstract,1.0,A5,5,1,13,0.4959657933609324,-0.9765675923399836,71.78353000000016,1.480722965017077e-07,1.0549631058015984e-07,1.3607410024482825e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,91,5,18.2,0.2543846345770937,1938.578701,1936.578701,1938.578701,1942.578701,2014.267774,2,1.818194484921121e-07,5,1.578744400881328e-07,2,3.7139515571469194e-07,6,1.0679652608905015e-07
