participant_id,session_id,roi_slug,roi_label,n_requested_channels,n_available_channels,requested_channels,available_channels
PID019,2025-11-20_003,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID019,2025-11-20_003,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID019,2025-11-20_003,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID020,2025-11-20_004,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID020,2025-11-20_004,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID020,2025-11-20_004,posterior_dorsal,Posterior Dorsal,5,4,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID020,2025-11-20_004,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID021,2025-11-21_001,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID021,2025-11-21_001,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID021,2025-11-21_001,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID021,2025-11-21_001,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID022,2025-11-21_002,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID022,2025-11-21_002,anterior_ventral,Anterior Ventral,5,4,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S5_D7 hbo
PID022,2025-11-21_002,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID022,2025-11-21_002,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID023,2025-11-21_003,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID023,2025-11-21_003,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID023,2025-11-21_003,posterior_dorsal,Posterior Dorsal,5,4,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo
PID023,2025-11-21_003,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID024,2025-11-25_001,anterior_dorsal,Anterior Dorsal,5,4,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID024,2025-11-25_001,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID024,2025-11-25_001,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
PID024,2025-11-25_001,posterior_ventral,Posterior Ventral,6,6,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo,S7_D2 hbo; S7_D5 hbo; S6_D2 hbo; S4_D2 hbo; S4_D7 hbo; S6_D7 hbo
PID025,2025-11-25_002,anterior_dorsal,Anterior Dorsal,5,5,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo,S1_D6 hbo; S1_D3 hbo; S3_D3 hbo; S5_D3 hbo; S5_D6 hbo
PID025,2025-11-25_002,anterior_ventral,Anterior Ventral,5,5,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo,S2_D4 hbo; S2_D6 hbo; S5_D4 hbo; S4_D4 hbo; S5_D7 hbo
PID025,2025-11-25_002,posterior_dorsal,Posterior Dorsal,5,5,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo,S3_D7 hbo; S3_D1 hbo; S8_D1 hbo; S8_D5 hbo; S6_D1 hbo
