participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,abstracness,z_abstracness,global_block_order,within_block_position,z_log_total_word_count,z_enem_correctness,response_time_sec,manual_override_session,no_override_cohort,question_start_time,baseline_start_time,baseline_end_time,primary_window_start_time,primary_window_end_time,outcome_variable,roi_mean_variable_lag4,roi_slug,roi_label
PID003,2,2025-11-11_003,2019_CH_56,6,Abstract,1.0,1.0,0.9812656949866586,10,1,-0.0667661106566081,0.0717737519545465,85.21410900000001,False,True,3973.169013,3971.169013,3973.169013,3977.169013,4062.383122,anterior_dorsal_mean_variable_lag4,9.765885356961253e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2019_CH_64,7,Abstract,1.0,1.0,0.9812656949866586,9,3,0.8851540163061837,1.676860146097159,52.82026399999995,False,True,3691.546406,3689.546406,3691.546406,3695.546406,3748.36667,anterior_dorsal_mean_variable_lag4,-1.3842645980434915e-06,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2019_CH_65,8,Abstract,1.0,1.0,0.9812656949866586,6,1,0.4154157465811737,-0.3021956459204002,50.38744600000018,False,True,2285.832481,2283.832481,2285.832481,2289.832481,2340.219927,anterior_dorsal_mean_variable_lag4,-1.8815416861232299e-06,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_56,9,Concrete,0.0,0.33329999999999993,-0.8029105168484137,1,1,-2.2518477633179645,0.7573109318980379,26.885245999999995,False,True,177.666626,175.666626,177.666626,181.666626,208.551872,anterior_dorsal_mean_variable_lag4,-1.8472795375977677e-06,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_59,10,Concrete,0.0,0.33329999999999993,-0.8029105168484137,5,1,-0.2041092841510671,0.5696170426960993,70.7782709999999,False,True,1864.585644,1862.585644,1864.585644,1868.585644,1939.363915,anterior_dorsal_mean_variable_lag4,8.179830162659004e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_70,11,Concrete,0.0,0.33329999999999993,-0.8029105168484137,4,2,-0.169030538835905,-1.0488884828831635,94.4303480000001,False,True,1544.147289,1542.147289,1544.147289,1548.147289,1641.763312,anterior_dorsal_mean_variable_lag4,-3.9770923684426687e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_76,12,Abstract,1.0,1.0,0.9812656949866586,10,2,0.1255646198243954,-0.511405592177757,102.10666700000002,False,True,4063.759121,4061.759121,4063.759121,4067.759121,4169.441561,anterior_dorsal_mean_variable_lag4,-1.5029988802599982e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_77,13,Abstract,1.0,1.0,0.9812656949866586,7,3,0.1561746054758361,-0.6844944649159799,102.56651899999996,False,True,2863.587367,2861.587367,2863.587367,2867.587367,2970.153886,anterior_dorsal_mean_variable_lag4,-5.563836126678005e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_78,14,Concrete,0.0,0.33329999999999993,-0.8029105168484137,1,3,-2.3361669895037065,0.0020441611073083,42.45862299999999,False,True,274.310587,272.310587,274.310587,278.310587,320.76921,anterior_dorsal_mean_variable_lag4,8.937215942203473e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_82,15,Concrete,0.0,0.16670000000000007,-1.2487538600188395,3,2,0.8398158527831238,0.4360691378486896,65.46537700000022,False,True,1194.955691,1192.955691,1194.955691,1198.955691,1264.17381,anterior_dorsal_mean_variable_lag4,1.8349269814925293e-06,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_CH_84,16,Concrete,0.0,0.33329999999999993,-0.8029105168484137,3,3,-0.5863181049301306,-1.2526273197494673,79.13341100000002,False,True,1264.67381,1262.67381,1264.67381,1268.67381,1347.807221,anterior_dorsal_mean_variable_lag4,-6.501793552988784e-07,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2020_LC_31,17,Abstract,1.0,1.0,0.9812656949866586,10,3,1.2969024283525536,0.491072224108366,86.44236700000056,False,True,4169.941561,4167.941561,4169.941561,4173.941561,4260.383928,anterior_dorsal_mean_variable_lag4,-1.4217358792171154e-06,anterior_dorsal,Anterior Dorsal
PID003,2,2025-11-11_003,2021_CH_46,18,Concrete,0.0,0.33329999999999993,-0.8029105168484137,5,3,-0.3125269842682109,1.4273572571066844,81.17988699999978,False,True,2019.04203,2017.04203,2019.04203,2023.04203,2104.221917,anterior_dorsal_mean_variable_lag4,2.894984550330801e-07,anterior_dorsal,Anterior Dorsal
